,id,salaryusd,primarydatabase,yearswiththisdatabase,employmentstatus,jobtitle,managestaff,yearswiththistypeofjob,otherpeopleonyourteam,education,educationiscomputerrelated,certifications,hoursworkedperweek,telecommutedaysperweek,employmentsector,region,averagesalaryusdbins
3211,3235,98000,Microsoft SQL Server,6,Full time employee,DBA,No,6,1,Masters,Yes,"No, I never have",40,2,Government,North America,USD95000
3217,3242,95000,Microsoft SQL Server,15,Full time employee,Architect,Yes,5,1,Bachelors (4 years),Yes,"Yes, but they expired",40,1,"Education (K-12, college, university)",North America,USD95000
3227,3253,100000,Microsoft SQL Server,21,Independent Consultant/Freelancer,Developer,No,21,None,None (no degree completed),,"No, I never have",50,5 or more,Private business,North America,USD95000
3229,3255,97263,Microsoft SQL Server,5,Full time employee,Developer,No,5,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD95000
3266,3293,96000,Microsoft SQL Server,8,Full time employee,Developer,No,8,None,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
3280,3307,93000,Microsoft SQL Server,12,Full time employee,Developer,No,10,None,None (no degree completed),,"No, I never have",38,"None, or less than 1 day per week",Private business,North America,USD95000
3283,3310,97000,Microsoft SQL Server,7,Full time employee,Manager,Yes,7,2,Associates (2 years),No,"No, I never have",45,5 or more,Private business,North America,USD95000
3284,3311,92000,Microsoft SQL Server,8,Full time employee,Analyst,No,15,None,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD95000
3288,3315,93000,Microsoft SQL Server,23,Full time employee,Engineer,No,1,None,Bachelors (4 years),No,"Yes, and they're currently valid",60,4,Private business,North America,USD95000
3293,3320,92000,Microsoft SQL Server,8,Full time employee,DBA,No,1,1,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD95000
3296,3323,100000,Microsoft SQL Server,11,Full time employee,Manager,Yes,3,None,Bachelors (4 years),Yes,"No, I never have",50,4,Non-profit,North America,USD95000
3299,3326,95207,Microsoft SQL Server,18,Full time employee,DBA,No,10,None,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
3305,3332,100000,Microsoft SQL Server,8,Full time employee,DBA,No,2,None,Bachelors (4 years),Yes,"No, I never have",44,"None, or less than 1 day per week",Private business,North America,USD95000
3313,3340,90900,Microsoft SQL Server,6,Full time employee,Developer,No,6,4,Masters,No,"No, I never have",38,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
3322,3349,95600,Microsoft SQL Server,7,Full time employee,Developer,No,2,3,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD95000
3329,3356,95000,Microsoft SQL Server,16,Full time employee,DBA,No,5,2,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3338,3365,95612,Microsoft SQL Server,17,Full time employee,DBA,No,17,None,None (no degree completed),,"Yes, but they expired",45,2,Private business,North America,USD95000
3346,3373,97000,Microsoft SQL Server,10,Full time employee,Architect,No,7,None,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
3350,3377,95000,Microsoft SQL Server,8,Full time employee,DBA,No,1,3,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD95000
3362,3389,100000,Microsoft SQL Server,15,Full time employee,DBA,No,4,None,Associates (2 years),,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3364,3391,99600,Microsoft SQL Server,13,Full time employee,DBA,No,4,None,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3370,3397,100000,Microsoft SQL Server,8,Full time employee,Manager,Yes,3,None,Bachelors (4 years),Yes,"Yes, but they expired",55,5 or more,Private business,North America,USD95000
3373,3400,98000,Microsoft SQL Server,25,Full time employee,Developer,No,25,5,Associates (2 years),Yes,"Yes, but they expired",40,1,Non-profit,North America,USD95000
3375,3402,100000,Microsoft SQL Server,6,Full time employee,Developer,No,6,4,Bachelors (4 years),No,"No, I never have",40,1,Private business,North America,USD95000
3377,3404,96000,Microsoft SQL Server,20,Full time employee,DBA,No,20,None,None (no degree completed),,"Yes, but they expired",40,5 or more,Private business,North America,USD95000
3378,3405,99500,Microsoft SQL Server,20,Full time employee,DBA,No,7,More than 5,None (no degree completed),,"Yes, but they expired",47,"None, or less than 1 day per week",Private business,North America,USD95000
3395,3422,100000,Microsoft SQL Server,25,Full time employee,Developer,No,1,1,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
3405,3432,100000,Microsoft SQL Server,10,Full time employee,Developer,Yes,3,2,Associates (2 years),Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,North America,USD95000
3407,3434,95000,Microsoft SQL Server,18,Full time employee,DBA,No,5,None,None (no degree completed),,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD95000
3409,3436,95000,Oracle,5,Full time employee,Developer,No,2,4,None (no degree completed),,"No, I never have",40,2,Government,North America,USD95000
3411,3438,100000,Microsoft SQL Server,20,Full time employee,DBA,No,10,2,Bachelors (4 years),Yes,"Yes, but they expired",40,5 or more,Government,North America,USD95000
3420,3447,100000,Microsoft SQL Server,10,Full time employee,Developer,No,2,None,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
3425,3452,95000,Microsoft SQL Server,5,Full time employee,Developer,No,10,1,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3436,3463,95000,Microsoft SQL Server,17,Full time employee,DBA,No,2,1,Bachelors (4 years),No,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Non-profit,North America,USD95000
3440,3468,100000,Microsoft SQL Server,9,Full time employee,DBA,Yes,9,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Private business,North America,USD95000
3442,3470,100000,Microsoft SQL Server,5,Full time employee,DBA,No,5,None,None (no degree completed),,"Yes, and they're currently valid",75,2,Private business,North America,USD95000
3446,3474,98000,Microsoft SQL Server,4,Full time employee,Manager,Yes,4,More than 5,Bachelors (4 years),No,"Yes, but they expired",60,1,Private business,North America,USD95000
3458,3486,91000,Microsoft SQL Server,3,Full time employee,Engineer,No,3,5,Masters,Yes,"No, I never have",40,5 or more,Private business,North America,USD95000
3465,3493,95000,Microsoft SQL Server,16,Full time employee,DBA,No,4,None,None (no degree completed),,"No, I never have",40,1,Private business,North America,USD95000
3474,3502,95000,Microsoft SQL Server,18,Full time employee,DBA,No,15,3,Bachelors (4 years),Yes,"No, I never have",43,"None, or less than 1 day per week",Private business,North America,USD95000
3475,3503,100000,Microsoft SQL Server,4,Full time employee,DBA,Yes,3,1,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,North America,USD95000
3486,3514,99000,Microsoft SQL Server,25,Full time employee,Developer,No,4,1,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
3497,3525,95000,Microsoft SQL Server,12,Full time employee,DBA,No,6,None,Masters,Yes,"Yes, and they're currently valid",45,5 or more,Private business,North America,USD95000
3505,3533,93000,Microsoft SQL Server,18,Full time employee,DBA,No,26,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Non-profit,North America,USD95000
3508,3536,100000,Microsoft SQL Server,7,Full time employee,DBA,No,0,None,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week",Non-profit,North America,USD95000
3517,3545,91000,Microsoft SQL Server,17,Full time employee,DBA,No,17,3,Associates (2 years),Yes,"No, I never have",43,"None, or less than 1 day per week",Government,North America,USD95000
3523,3552,95000,Microsoft SQL Server,7,Full time employee,DBA,No,3,None,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,North America,USD95000
3526,3555,100000,DB2,15,Full time employee,Analyst,Yes,2,None,Masters,No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3528,3557,95000,Microsoft SQL Server,5,Full time employee,Analyst,No,10,More than 5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
3537,3566,95000,Microsoft SQL Server,7,Full time employee,Manager,Yes,2,None,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3540,3569,97500,Microsoft SQL Server,16,Full time employee,Developer,No,7,None,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3553,3582,100000,Microsoft SQL Server,5,Full time employee,DBA,No,1,1,Masters,Yes,"Yes, and they're currently valid",45,5 or more,Private business,North America,USD95000
3557,3586,95000,Microsoft SQL Server,6,Full time employee,Manager,Yes,6,None,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,North America,USD95000
3560,3589,95000,Microsoft SQL Server,15,Full time employee,Analyst,No,18,1,None (no degree completed),,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,North America,USD95000
3563,3592,97000,Microsoft SQL Server,9,Full time employee,Analyst,No,9,1,Masters,Yes,"Yes, but they expired",65,2,Private business,North America,USD95000
3570,3599,98000,Microsoft SQL Server,21,Full time employee,Developer,No,28,None,Masters,Yes,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Government,North America,USD95000
3572,3601,100000,Microsoft SQL Server,20,Full time employee,DBA,No,3,None,Associates (2 years),,"No, I never have",55,"None, or less than 1 day per week",Private business,North America,USD95000
3573,3602,99000,Microsoft SQL Server,5,Full time employee,Developer,No,5,More than 5,Masters,No,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,North America,USD95000
3582,3611,94500,Microsoft SQL Server,20,Full time employee,DBA,No,15,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,North America,USD95000
3587,3616,100000,Microsoft SQL Server,18,Full time employee,DBA,No,18,None,Masters,No,"Yes, but they expired",40,5 or more,"Education (K-12, college, university)",North America,USD95000
3591,3620,98000,Microsoft SQL Server,5,Full time employee,DBA,No,1,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,North America,USD95000
3599,3628,93000,Microsoft SQL Server,9,Full time employee,Developer,No,7,More than 5,Associates (2 years),Yes,"No, I never have",45,1,Private business,North America,USD95000
3606,3635,99000,Oracle,19,Full time employee,DBA,No,20,3,Masters,Yes,"Yes, and they're currently valid",45,1,Private business,North America,USD95000
3610,3639,95000,Microsoft SQL Server,14,Full time employee,Developer,No,1,None,None (no degree completed),,"Yes, and they're currently valid",42,"None, or less than 1 day per week",Private business,North America,USD95000
3613,3642,95000,Microsoft SQL Server,20,Full time employee,Developer,No,2,None,Bachelors (4 years),No,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,North America,USD95000
3615,3644,90200,Microsoft SQL Server,15,Full time employee,Developer,No,5,None,Bachelors (4 years),No,"No, I never have",42,1,Private business,North America,USD95000
3618,3647,95000,Microsoft SQL Server,15,Full time employee,Developer,No,8,5,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3644,3673,96000,Microsoft SQL Server,16,Full time employee,Developer,No,3,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Non-profit,North America,USD95000
3648,3677,100000,Microsoft SQL Server,12,Full time employee,Analyst,No,4,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD95000
3649,3678,100000,Microsoft SQL Server,19,Full time employee,Manager,Yes,17,None,Bachelors (4 years),Yes,"No, I never have",42,"None, or less than 1 day per week",Private business,North America,USD95000
3657,3686,95000,Microsoft SQL Server,15,Full time employee,Developer,No,15,2,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3669,3698,93000,Microsoft SQL Server,4,Full time employee,Developer,No,3,None,Masters,Yes,"Yes, and they're currently valid",40,1,Private business,North America,USD95000
3693,3722,95000,Microsoft SQL Server,20,Full time employee,DBA,No,1,2,None (no degree completed),,"Yes, but they expired",45,"None, or less than 1 day per week",Non-profit,North America,USD95000
3698,3727,94000,Microsoft SQL Server,10,Full time employee,Architect,No,2,4,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3713,3742,95000,Microsoft SQL Server,7,Full time employee,Developer,No,7,1,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3714,3743,97000,Microsoft SQL Server,8,Full time employee,DBA,No,8,3,None (no degree completed),,"No, I never have",45,5 or more,Private business,North America,USD95000
3718,3747,98000,Microsoft SQL Server,9,Full time employee,Manager,Yes,7,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Government,North America,USD95000
3736,3765,92000,Oracle,20,Full time employee,DBA,No,25,None,None (no degree completed),,"No, I never have",37,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
3743,3772,95000,Teradata,2,Full time employee,Analyst,No,6,2,Bachelors (4 years),No,"No, I never have",40,1,Private business,North America,USD95000
3753,3782,95000,Microsoft SQL Server,10,Full time employee,DBA,No,8,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",65,1,Private business,North America,USD95000
3755,3784,96000,Microsoft SQL Server,13,Full time employee,Analyst,No,3,None,Masters,Yes,"No, I never have",45,5 or more,Private business,North America,USD95000
3768,3797,100000,Microsoft SQL Server,20,Full time employee,DBA,No,5,None,Bachelors (4 years),No,"No, I never have",50,2,Private business,North America,USD95000
3769,3798,94000,Microsoft SQL Server,17,Full time employee,Developer,No,5,More than 5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
3772,3801,93500,Microsoft SQL Server,25,Full time employee,DBA,No,8,None,None (no degree completed),,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,North America,USD95000
3798,3827,100000,Microsoft SQL Server,8,Full time employee,DBA,No,8,1,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
3802,3831,99100,Microsoft SQL Server,12,Full time employee,DBA,No,4,More than 5,None (no degree completed),,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD95000
3810,3840,92000,Microsoft SQL Server,10,Full time employee,DBA,No,13,3,Masters,Yes,"No, I never have",40,3,Non-profit,North America,USD95000
3817,3848,97000,Microsoft SQL Server,10,Full time employee,DBA,No,1,1,Bachelors (4 years),No,"No, I never have",40,5 or more,Non-profit,North America,USD95000
3818,3849,97000,Microsoft SQL Server,11,Full time employee,DBA,No,7,2,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD95000
3824,3855,92000,Microsoft SQL Server,4,Full time employee,DBA,No,3,More than 5,Masters,Yes,"Yes, and they're currently valid",65,2,Private business,North America,USD95000
3831,3862,99600,Microsoft SQL Server,11,Full time employee,Developer,No,4,None,Associates (2 years),Yes,"Yes, and they're currently valid",42,2,Private business,North America,USD95000
3834,3865,100000,Microsoft SQL Server,15,Full time employee,Developer,No,15,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
3841,3872,94000,Microsoft SQL Server,3,Full time employee,DBA,No,3,1,Bachelors (4 years),Yes,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,North America,USD95000
3857,3888,92500,Microsoft SQL Server,11,Full time employee,DBA,No,2,1,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Non-profit,North America,USD95000
3865,3896,98000,Microsoft SQL Server,20,Full time employee,DBA,No,10,2,Bachelors (4 years),No,"Yes, but they expired",40,1,Non-profit,North America,USD95000
3873,3904,96000,Microsoft SQL Server,24,Full time employee,Architect,Yes,4,5,Bachelors (4 years),No,"Yes, but they expired",50,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
3879,3910,98000,Microsoft SQL Server,10,Full time employee,Developer,No,7,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",42,"None, or less than 1 day per week",Private business,North America,USD95000
3889,3921,99000,Microsoft SQL Server,5,Full time employee,DBA,Yes,10,None,Bachelors (4 years),No,"Yes, but they expired",50,2,"Education (K-12, college, university)",North America,USD95000
3892,3924,95000,Microsoft SQL Server,6,Full time employee,DBA,No,10,None,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD95000
3902,3934,98500,Microsoft SQL Server,8,Full time employee,DBA,No,8,1,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3911,3943,96000,Microsoft SQL Server,10,Full time employee,DBA,No,7,1,Bachelors (4 years),No,"No, I never have",50,1,Private business,North America,USD95000
3914,3946,91000,Microsoft SQL Server,8,Full time employee,Architect,No,2,None,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Non-profit,North America,USD95000
3926,3958,96000,Microsoft SQL Server,17,Full time employee,DBA,No,12,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,4,Private business,North America,USD95000
3929,3961,95000,Microsoft SQL Server,10,Full time employee,Developer,No,3,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",42,"None, or less than 1 day per week",Private business,North America,USD95000
3931,3963,90250,Microsoft SQL Server,6,Full time employee,DBA,No,6,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
3954,3986,100000,Microsoft SQL Server,8,Full time employee,Architect,Yes,8,3,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
3961,3993,91000,Microsoft SQL Server,5,Full time employee,Developer,Yes,5,2,Bachelors (4 years),No,"Yes, and they're currently valid",44,1,Private business,North America,USD95000
3985,4017,100000,Microsoft SQL Server,18,Full time employee,Developer,No,9,None,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Non-profit,North America,USD95000
3988,4020,93000,Microsoft SQL Server,7,Full time employee,Developer,No,6,1,Bachelors (4 years),No,"No, I never have",35,"None, or less than 1 day per week",Private business,North America,USD95000
3998,4030,92000,Microsoft SQL Server,5,Full time employee,DBA,Yes,5,3,Bachelors (4 years),No,"No, I never have",35,"None, or less than 1 day per week",Private business,North America,USD95000
4000,4032,97000,Microsoft SQL Server,15,Full time employee,Analyst,No,6,None,Bachelors (4 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",Government,North America,USD95000
4010,4042,97000,Microsoft SQL Server,18,Full time employee,DBA,No,7,1,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
4014,4046,95000,Microsoft SQL Server,5,Full time employee,DBA,No,5,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD95000
4017,4049,98000,Microsoft SQL Server,4,Full time employee,Engineer,No,4,None,None (no degree completed),,"Yes, and they're currently valid",40,2,Non-profit,North America,USD95000
4020,4052,95000,Azure SQL DB,1,Full time employee,Developer,No,15,More than 5,None (no degree completed),,"No, I never have",40,5 or more,Private business,North America,USD95000
4039,4071,100000,Microsoft SQL Server,18,Full time employee,Engineer,No,4,2,Bachelors (4 years),No,"Yes, and they're currently valid",40,2,Private business,North America,USD95000
4041,4073,100000,Microsoft SQL Server,4,Full time employee,DBA,Yes,1,More than 5,Associates (2 years),Yes,"Yes, and they're currently valid",40,5 or more,Private business,North America,USD95000
4049,4081,95000,Microsoft SQL Server,10,Full time employee,Developer,No,10,1,Masters,Yes,"Yes, and they're currently valid",45,5 or more,Private business,North America,USD95000
4053,4085,92000,Microsoft SQL Server,20,Full time employee,Developer,No,6,5,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD95000
4071,4103,96000,Microsoft SQL Server,16,Independent Consultant/Freelancer,Developer,No,2,3,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,North America,USD95000
4081,4113,98760,Microsoft SQL Server,5,Full time employee,DBA,No,5,More than 5,Bachelors (4 years),Yes,"No, I never have",41,5 or more,Private business,North America,USD95000
4092,4124,98000,Microsoft SQL Server,15,Full time employee,DBA,No,3,2,None (no degree completed),,"No, I never have",50,1,Private business,North America,USD95000
4097,4129,94000,Oracle,6,Full time employee,DBA,No,6,1,Masters,Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,North America,USD95000
4114,4146,99000,Microsoft SQL Server,3,Full time employee,DBA,Yes,3,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Private business,North America,USD95000
4124,4156,92000,Microsoft SQL Server,21,Full time employee,Engineer,No,38,None,None (no degree completed),,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,North America,USD95000
4138,4170,96000,Microsoft SQL Server,17,Full time employee,DBA,No,17,2,None (no degree completed),,"Yes, but they expired",40,1,Private business,North America,USD95000
4144,4176,93000,Microsoft SQL Server,8,Full time employee,Developer,No,10,5,Associates (2 years),Yes,"No, I never have",45,3,Government,North America,USD95000
4155,4187,100000,Microsoft SQL Server,11,Full time employee,DBA,No,7,None,Bachelors (4 years),Yes,"No, I never have",50,5 or more,Private business,North America,USD95000
4164,4196,93000,Microsoft SQL Server,3,Full time employee,Developer,No,3,3,Bachelors (4 years),Yes,"No, I never have",46,"None, or less than 1 day per week",Private business,North America,USD95000
4170,4202,98000,Microsoft SQL Server,6,Full time employee,Developer,No,6,1,None (no degree completed),,"Yes, and they're currently valid",40,1,Non-profit,North America,USD95000
4171,4203,95000,Microsoft SQL Server,19,Full time employee,DBA,No,10,None,None (no degree completed),,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Government,North America,USD95000
4174,4206,99000,Microsoft SQL Server,6,Full time employee,Developer,No,1,1,Bachelors (4 years),Yes,"No, I never have",35,"None, or less than 1 day per week",Private business,North America,USD95000
4186,4218,93000,Microsoft SQL Server,5,Full time employee,DBA,No,5,None,Associates (2 years),,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD95000
4193,4225,98000,Microsoft SQL Server,7,Full time employee,Manager,Yes,7,None,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
4200,4232,95000,Microsoft SQL Server,5,Full time employee,DBA,No,6,2,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
4201,4233,92000,Microsoft SQL Server,5,Full time employee,Architect,No,1,1,Associates (2 years),No,"No, I never have",35,"None, or less than 1 day per week",Private business,North America,USD95000
4205,4237,93000,Microsoft SQL Server,7,Full time employee,Developer,No,6,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD95000
4211,4243,100000,Microsoft SQL Server,8,Full time employee,Architect,Yes,3,None,Bachelors (4 years),Yes,"No, I never have",60,1,Private business,North America,USD95000
4213,4245,97335,Microsoft SQL Server,9,Full time employee,DBA,No,9,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD95000
4225,4257,93000,Microsoft SQL Server,5,Full time employee,Developer,No,4,1,Masters,Yes,"No, I never have",40,1,Private business,North America,USD95000
4238,4270,100000,Microsoft SQL Server,5,Full time employee,DBA,Yes,1,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
4242,4274,94000,Microsoft SQL Server,6,Full time employee,Developer,No,6,1,Bachelors (4 years),Yes,"No, I never have",40,1,Government,North America,USD95000
4261,4293,100000,Microsoft SQL Server,4,Full time employee,DBA,No,1,1,Bachelors (4 years),No,"No, I never have",40,2,Private business,North America,USD95000
4264,4296,93500,Microsoft SQL Server,6,Full time employee,DBA,No,21,None,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Government,North America,USD95000
4277,4309,93500,Microsoft SQL Server,9,Full time employee,DBA,No,9,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",44,"None, or less than 1 day per week",Private business,North America,USD95000
4278,4310,100000,Microsoft SQL Server,10,Full time employee,DBA,No,25,1,Associates (2 years),,"Yes, but they expired",50,"None, or less than 1 day per week",Government,North America,USD95000
4287,4319,95000,Microsoft SQL Server,8,Full time employee,DBA,No,8,None,None (no degree completed),,"Yes, and they're currently valid",40,5 or more,Private business,North America,USD95000
4289,4321,93500,Microsoft SQL Server,4,Full time employee,DBA,No,3,More than 5,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
4290,4322,100000,Microsoft SQL Server,5,Full time employee,Analyst,No,5,4,Masters,No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD95000
4298,4330,91214,Microsoft SQL Server,10,Full time employee,DBA,No,7,None,Associates (2 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD95000
4310,4343,94000,Microsoft SQL Server,19,Full time employee,Analyst,No,13,3,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD95000
4328,4361,95000,Microsoft SQL Server,16,Full time employee,DBA,No,16,None,Bachelors (4 years),No,"Yes, but they expired",50,5 or more,Private business,North America,USD95000
4330,4363,96000,Microsoft SQL Server,5,Full time employee,DBA,No,10,More than 5,Masters,Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD95000
4333,4366,92000,Microsoft SQL Server,10,Full time employee,DBA,No,10,None,Bachelors (4 years),No,"No, I never have",36,"None, or less than 1 day per week",Private business,North America,USD95000
4344,4377,92000,Microsoft SQL Server,15,Full time employee,DBA,Yes,17,2,Bachelors (4 years),No,"No, I never have",40,2,Government,North America,USD95000
4351,4384,97500,Microsoft SQL Server,20,Full time employee,DBA,No,0,1,None (no degree completed),,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD95000
4354,4387,97000,Microsoft SQL Server,4,Full time employee,DBA,No,4,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD95000
4356,4389,96000,Microsoft SQL Server,12,Full time employee,Developer,No,12,2,Associates (2 years),No,"Yes, but they expired",40,5 or more,Non-profit,North America,USD95000
4376,4409,98517,Microsoft SQL Server,12,Independent Consultant/Freelancer,DBA,No,1,5,Bachelors (4 years),No,"No, I never have",37,1,Private business,Western Europe,USD95000
4380,4413,93000,Microsoft SQL Server,16,Independent Consultant/Freelancer,Developer,No,21,None,Bachelors (4 years),No,"Yes, and they're currently valid",38,3,Private business,Western Europe,USD95000
4405,4438,95000,Microsoft SQL Server,10,Full time employee,Engineer,Yes,10,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD95000
4427,4460,93125,Microsoft SQL Server,14,Full time employee,DBA,No,1,2,None (no degree completed),,"Yes, but they expired",35,"None, or less than 1 day per week",Private business,Western Europe,USD95000
4430,4463,100000,Microsoft SQL Server,20,Independent Consultant/Freelancer,DBA,No,5,None,Bachelors (4 years),No,"No, I never have",35,2,Private business,Western Europe,USD95000
4439,4472,100000,Microsoft SQL Server,17,Full time employee,DBA,Yes,1,1,Bachelors (4 years),No,"No, I never have",35,1,Private business,Western Europe,USD95000
4516,4549,100000,Microsoft SQL Server,18,Full time employee,Architect,No,6,1,Associates (2 years),Yes,"No, I never have",35,"None, or less than 1 day per week",Private business,Western Europe,USD95000
4542,4575,100000,Microsoft SQL Server,7,Independent Consultant/Freelancer,DBA,No,2,None,None (no degree completed),,"Yes, but they expired",60,"None, or less than 1 day per week",Government,Western Europe,USD95000
4585,4618,100000,Microsoft SQL Server,4,Independent Consultant/Freelancer,DBA,No,20,None,Masters,No,"No, I never have",37,1,Private business,Western Europe,USD95000
